id,identifier,pmid,dataset_id,is_pre_print
50,10.1186/2047-217X-2-10,23870653,57,false
51,10.1186/2047-217X-2-10,23870653,58,false
52,10.1186/2047-217X-2-10,23870653,59,false
53,10.1371/journal.pone.0074229,24058531,61,false
54,10.1126/science.1230835,23258410,71,false
55,10.1126/science.1230835,23258410,72,false
56,10.1038/ncomms3212,23962925,73,false
57,10.3897/BDJ.1.e1013,,69,false
58,10.1038/ng.2343,22751099,76,false
59,10.1186/2047-217X-2-17,,77,false
60,10.1038/ng.2588,23525076,78,false
61,10.1038/ng.2588,23525076,79,false
62,10.1038/ng.2657,23749191,80,false
63,10.1186/gb-2014-15-2-r33,,119,false
64,10.1186/gb-2013-14-3-r29,23537097,119,false
65,10.1038/nbt.2491,,120,false
66,10.1038/cr.2013.104,24165891,121,false
67,10.1038/ng.2524,,122,false
68,10.1038/ng.2371,22922876,123,false
69,10.1038/nature12323,,124,false
70,10.1111/j.1365-313X.2012.05093.x,22757964,125,false
71,10.1038/nbt.2478,23263233,126,false
72,10.1101/gr.144311.112,23149293,127,false
73,10.1038/ncomms2290,,128,false
74,10.1038/ng.2615,23624526,129,false
75,10.1038/ng.2470,23179023,130,false
76,10.1038/ncomms2416,23385571,131,false
77,10.1038/ng.2615,23624526,132,false
78,doi:10.1186/2047-217X-3-3,,135,false
79,doi:10.1186/2047-217X-3-5,,136,false
80,10.1016/j.cell.2014.03.054,,27,false
81,10.1186/2047-217X-2-16,,74,false
82,10.1038/srep05288,,62,false
83,10.1038/nbt.2942,,70,false
84,10.1371/journal.pone.0096617,,141,false
85,10.1186/2047-217X-3-6,,141,false
86,10.1186/2047-217X-3-10,,144,false
87,10.1186/2047-217X-3-12,,143,false
88,10.1186/2047-217X-3-13,,147,false
89,10.1186/2047-217X-3-8,,142,false
90,10.1186/2047-217X-3-7,,142,false
91,10.1186/1471-2164-15-716,,75,false
92,10.1186/2047-217X-3-14,,155,false
93,10.1073/pnas.1319718111,,53,false
94,10.1073/pnas.1319718111,,63,false
95,10.1073/pnas.1319718111,,64,false
96,10.1073/pnas.1319718111,,65,false
97,10.1016/j.neuroimage.2013.09.054,24096127,54,false
98,10.1186/2047-217X-3-21,,153,false
99,10.1186/2047-217X-3-25,,151,false
100,10.1186/s13059-014-0411-5,,151,false
101,10.1186/2047-217X-3-18,,161,false
102,10.1186/2047-217X-3-20,,159,false
103,10.1093/gbe/evu242,,156,false
104,10.1186/2047-217X-3-22,,154,false
105,10.1186/2047-217X-3-9,,137,false
106,10.1038/nature07484,18987735,40,false
107,10.1186/2047-217X-3-23,,158,false
108,10.1186/2047-217X-3-30,,170,false
109,10.1186/s13059-014-0557-1,,83,false
115,10.1186/2047-217X-3-26,,81,false
116,10.1186/2047-217X-3-26,,60,false
117,10.1186/2047-217X-3-26,,6,false
118,10.1186/2047-217X-3-26,,16,false
119,10.1186/2047-217X-3-26,,8,false
120,10.1186/2047-217X-3-26,,26,false
121,10.1186/2047-217X-3-26,,80,false
122,10.1186/2047-217X-3-26,,79,false
123,10.1186/2047-217X-3-26,,82,false
124,10.1186/2047-217X-3-26,,83,false
125,10.1186/2047-217X-3-26,,84,false
126,10.1186/2047-217X-3-26,,85,false
127,10.1186/2047-217X-3-26,,86,false
128,10.1186/2047-217X-3-26,,87,false
129,10.1186/2047-217X-3-26,,88,false
130,10.1186/2047-217X-3-26,,89,false
131,10.1186/2047-217X-3-26,,90,false
132,10.1186/2047-217X-3-26,,91,false
133,10.1186/2047-217X-3-26,,92,false
134,10.1186/2047-217X-3-26,,93,false
135,10.1186/2047-217X-3-26,,94,false
136,10.1186/2047-217X-3-26,,95,false
137,10.1186/2047-217X-3-26,,96,false
138,10.1186/2047-217X-3-26,,97,false
139,10.1186/2047-217X-3-26,,98,false
140,10.1186/2047-217X-3-26,,99,false
141,10.1186/2047-217X-3-26,,100,false
142,10.1186/2047-217X-3-26,,101,false
143,10.1186/2047-217X-3-26,,102,false
144,10.1186/2047-217X-3-26,,103,false
145,10.1186/2047-217X-3-26,,104,false
146,10.1186/2047-217X-3-26,,105,false
147,10.1186/2047-217X-3-26,,106,false
